residue,VHresidue,VVresidue,product,ratio,span
TC,-12.63959122,-2.159643173,27.29700661,0.170863375,12.8227663
TC,-18.74120903,-5.353914261,100.338829,0.285676032,19.49095535
TC,-19.50432968,-2.896356583,56.49149323,0.148498133,19.71820831
TC,-14.4533329,-3.103546143,44.85658646,0.214728758,14.78278828
TC,-4.19225502,-1.980552673,8.30298233,0.472431332,4.636549473
TC,-8.099617004,-6.517756462,52.79133224,0.804699361,10.39639091
TC,-7.75982666,-5.920597076,45.94280624,0.76298058,9.760552406
TC,-7.728055954,-1.784440994,13.79026031,0.230904251,7.931398392
TC,-11.61195946,-3.988407135,46.31322098,0.34347409,12.27782536
TC,-6.127368927,0.121685028,-0.745609045,-0.019859262,6.128577232
TC,-12.24493408,-2.938831329,35.98579407,0.240003854,12.59266281
TC,-11.13072395,-6.199207306,69.00166321,0.556945562,12.74061108
TC,-9.459438324,-1.956817627,18.51039505,0.206864044,9.659715652
TC,-0.011537552,-1.654167175,0.01908504,143.3724518,1.654207349
TC,-5.640148163,-0.536586761,3.026428938,0.095137,5.665615559
TC,-8.083724976,-5.217348099,42.17560577,0.645413876,9.621191978
TC,-6.575033188,-3.547346115,23.3239193,0.539517581,7.470925331
TC,-6.51209259,-0.172660828,1.12438333,0.026513878,6.514380932
TC,-3.279186249,-1.025882721,3.364060402,0.31284675,3.435913086
TC,-9.459909439,-6.738698959,63.7474823,0.712342858,11.61464405
TC,-10.97854614,-8.756710052,96.13594818,0.797620177,14.04309177
TC,-3.10622406,-3.011548996,9.354545593,0.969520867,4.326436996
TC,-5.789222717,-5.265443802,30.48282623,0.909525156,7.825598717
TC,1.252351761,-0.076753616,-0.096122526,-0.061287586,1.254701495
TC,-5.853126526,-7.375274658,43.16841507,1.26005733,9.415613174
TC,-3.017738342,-2.473716736,7.465029716,0.819725394,3.902053118
TC,-12.73583984,-2.524642944,32.15345001,0.198231369,12.9836607
TC,-11.62612343,-6.36287117,73.9755249,0.547290862,13.25341034
TC,-10.85974312,-3.773529053,40.97955704,0.347478658,11.49667549
TC,-10.35570145,-3.67855835,38.09405136,0.355220586,10.98964691
TC,-12.40714645,-4.555215836,56.51723099,0.367144525,13.21693134
TC,-10.5533905,-3.800336838,40.10643768,0.360105783,11.21680069
TC,-15.46515465,-4.087705612,63.21699905,0.264317155,15.99626064
TC,-9.281219482,-1.031391144,9.57256794,0.111126684,9.33835125
TC,-8.775184631,-2.605779648,22.86619759,0.296948701,9.153903961
TC,-3.518531799,-2.411636353,8.485419273,0.685409844,4.265683651
TC,-2.510017395,-2.350198746,5.899039745,0.936327696,3.43854928
TC,-7.141296387,-3.77926445,26.98884773,0.529212654,8.079663277
TC,-7.057584763,-4.726606369,33.35842514,0.669720113,8.494133949
TC,-3.442415237,-0.739433289,2.545436382,0.21480073,3.520935059
TC,-3.076597214,-2.425233841,7.461467743,0.788284481,3.917551517
TC,-9.413808823,-6.694791794,63.02349091,0.711167157,11.5516243
TC,-3.769706726,-5.748304367,21.66942215,1.524867773,6.874132156
TC,-4.569633484,-5.479459763,25.03912354,1.19910264,7.13484621
TC,-7.976741791,-3.80134201,30.32232285,0.476553231,8.836210251
TC,-5.818946838,-2.466087341,14.3500309,0.423803031,6.319946766
