residue,vh_ori,vv_ori,vv_soil,vh_soil,VVresidue,VHresidue,span,RVI_residue,ratio,product,NDVI_residue,SPAN_ori,RVI_ori,Ratio_ori,Product_ori,NDVI_ori,Entropy,Anisotropy,Alpha,g0,g1,g2,g3,DegreeOfPolarization,DegreeOfDepolarization,DegreeOfCircularity,DegreeOfEllipticity,CPR,LPR,RelativePhase,Alphas,ConformityCoefficient,PhasePhi,DpRVI
RC,-28.41860008,-17.73699951,-19.97290039,-30.41390038,-8.594140053,-15.54489994,17.76239967,0.671661973,0.552859008,133.5950012,-0.287946999,33.49950027,0.31497699,0.624132991,504.0589905,-0.231426999,0.482423991,0.791436017,10.67280006,0.025265099,0.0203133,0.00195543,0.000328237,0.808166027,0.191834003,-0.016453,-0.0082276,0.974057972,0.108808003,-0.289806992,0.777171016,0.0132042,0.093301497,0.316507012
RC,-27.78230095,-16.10180092,-19.79409981,-30.2343998,-7.465169907,-17.30200005,18.84379959,0.376248986,0.431463003,129.1620026,-0.397172004,32.11119843,0.254375994,0.579572022,447.3469849,-0.266166002,0.483761013,0.790573001,11.74499989,0.042157002,0.033990901,-0.00133155,0.00194006,0.808836997,0.191163003,-0.057373401,-0.0287202,0.911911011,0.107236996,-2.173089981,0.756689012,0.046358299,-0.038498599,0.326036006
RC,-26.35059929,-14.77750015,-19.79750061,-30.26650047,-6.289199829,-16.76519966,17.90600014,0.328990996,0.375133991,105.4400024,-0.454403996,30.21139908,0.260327995,0.560801983,389.3959961,-0.281392008,0.435184002,0.820770025,9.243530273,0.049470399,0.0429889,-0.00132399,-0.000908676,0.869646013,0.130354002,0.020160301,0.0100807,1.036440015,0.070199303,2.349740028,0.795479,-0.017554101,-0.030422701,0.217326
NC,-26.39240074,-17.56500053,-19.59119987,-30.08909988,-19.44720078,-28.4829998,34.48880005,0.443998009,0.682765007,553.914978,-0.188519999,31.70319939,0.463297009,0.665533006,463.5840149,-0.200817004,0.580600977,0.722769022,16.08639908,0.031656299,0.0217558,0.00318447,-0.00214658,0.695012987,0.304987013,0.096723303,0.048475601,1.144400001,0.189581007,0.609844983,0.833836019,-0.067306697,0.153764993,0.423438996
RC,-29.12649918,-16.9817009,-19.59379959,-30.09110069,-10.5447998,-22.08069992,24.46940041,0.262418002,0.477555007,232.8359985,-0.353588015,33.7154007,0.230067998,0.583033025,494.6159973,-0.263397992,0.608027995,0.701445997,17.35050011,0.0231952,0.016581099,-0.0021453,-0.00154961,0.724398971,0.275601,0.093794398,0.047024999,1.14470005,0.167746007,2.490370035,0.832379997,-0.067221098,-0.133237004,0.424255013
NC,-27.01880074,-18.53739929,-20.54120064,-31.02269936,-13.64990044,-18.66069984,23.12010002,0.959186018,0.731474996,254.7160034,-0.155083999,32.76660156,0.496939987,0.686092019,500.8590088,-0.186175004,0.649471998,0.66714102,15.47550011,0.0242343,0.0182338,0.00321638,-0.00265992,0.771883011,0.228117004,0.141910002,0.071322203,1.246639967,0.141436994,0.69096601,0.85659802,-0.109661996,0.174321994,0.378259003
RC,-25.40390015,-16.83329964,-20.54229927,-31.02359962,-9.26488018,-13.95660019,16.75189972,1.013790011,0.663833976,129.3059998,-0.202042997,30.47489929,0.488076001,0.662626982,427.6319885,-0.202914998,0.565945983,0.733750999,12.76270008,0.024007799,0.017045399,2.25E-05,0.00296152,0.720866024,0.279134005,-0.172658995,-0.087039001,0.779498994,0.170108005,-1.550209999,0.698597014,0.124283999,-0.00102612,0.359108001
RC,-23.9022007,-14.82900047,-18.98649979,-29.52540016,-10.32040024,-17.85560036,20.62360001,0.599776983,0.577992976,184.276001,-0.267432988,28.12849998,0.440611988,0.620402992,354.4450073,-0.234261006,0.654588997,0.662715971,17.16810036,0.032809999,0.0207214,0.00331787,-0.00335801,0.644015014,0.355984986,0.163780004,0.082526401,1.233070016,0.230894998,0.791472018,0.867712021,-0.104066998,0.165755004,0.473381996
NC,-25.54039955,-16.72130013,-20.21529961,-30.58279991,-18.60490036,-28.74080086,34.23709869,0.353421986,0.64733398,534.7199707,-0.214083001,30.52729988,0.464073986,0.654698014,427.0690002,-0.208680004,0.574505985,0.727370024,14.56219959,0.0369347,0.029720601,0.00711364,-0.000623716,0.828922987,0.171076998,0.0196025,0.00980855,1.037050009,0.108441003,0.066868998,0.795203984,-0.0163942,0.235447004,0.325244993
RC,-27.19339943,-17.19529915,-20.53730011,-30.90469933,-10.25409985,-17.9041996,20.63260078,0.586418986,0.572723985,183.5919952,-0.271679014,32.1739006,0.363777012,0.632332027,467.598999,-0.225241005,0.55675602,0.740496993,14.66709995,0.032434002,0.0259434,-0.00177379,0.0041111,0.813148975,0.186850995,-0.157515004,-0.079442002,0.776861012,0.111386999,-2.034970045,0.706184983,0.127685994,-0.068529703,0.357327014
RC,-30.07250023,-16.91110039,-19.91020012,-30.32929993,-4.966179848,-14.41380024,15.24530029,0.40792799,0.34454301,71.58149719,-0.487493992,34.50130081,0.184265003,0.562345982,508.5589905,-0.280126005,0.433461994,0.821798027,8.361729622,0.0154025,0.0123052,-0.000368972,0.000557814,0.798799992,0.201199993,-0.0471287,-0.023586599,0.929094017,0.113095,-2.196719885,0.761819005,0.037004501,-0.029223699,0.315221995
RC,-28.12450027,-16.2241993,-19.66010094,-30.07760048,-7.695590019,-17.82119942,19.41180038,0.354184985,0.431820989,137.1450043,-0.396822006,32.46860123,0.242578998,0.576869011,456.2969971,-0.268335998,0.534026027,0.756740987,12.29269981,0.028854899,0.021477601,0.00208248,0.00389281,0.760725975,0.239273995,-0.177448004,-0.089551501,0.764136016,0.146795005,-1.069000006,0.696124017,0.134751007,0.097520903,0.405003011
RC,-26.0272007,-11.19480038,-18.65500069,-29.05850029,0.531050026,-14.84809971,14.85760021,0.112651996,-0.035765499,-7.885079861,-1.074180007,28.33259964,0.127286002,0.430121005,291.3699951,-0.398483008,0.324598998,0.881430984,6.973189831,0.059472799,0.0536789,0.000391405,0.00168643,0.903244019,0.096755996,-0.0310251,-0.0155173,0.945502996,0.051312599,-1.436439991,0.769882023,0.028080599,0.00637224,0.186648995
NC,-29.11310005,-16.08749962,-19.03700066,-29.44420052,-12.26439953,-27.83819962,30.42009926,0.107846998,0.440560013,341.4190063,-0.388348997,33.26229858,0.189839005,0.552586973,468.3569946,-0.28817299,0.378093988,0.853413999,9.157730103,0.024764899,0.021938,0.000127027,0.00264004,0.892159998,0.107840002,-0.120696001,-0.0605883,0.806352019,0.060952999,-1.547639966,0.724889994,0.107473001,0.00726931,0.210278004
RC,-27.06229973,-15.64420033,-19.45479965,-29.85829926,-8.131279945,-18.30990028,20.03429985,0.350263,0.444090992,148.8829956,-0.384954989,31.25869942,0.269156009,0.578082979,423.3680115,-0.267360985,0.439613014,0.818112016,11.01589966,0.024800699,0.019313199,-0.00154811,0.00164279,0.784985006,0.215014994,-0.086542703,-0.043389,0.874635994,0.125373006,-2.253269911,0.742048025,0.067380898,-0.082275704,0.312857002
TC,-25.5326004,-12.83110046,-19.78949928,-30.20269966,-1.056100011,-12.35579967,12.40089989,0.276073992,0.085473299,13.04889965,-0.842513978,28.5753994,0.203797996,0.502538979,327.6119995,-0.331081003,0.382277995,0.851119995,8.174969673,0.058765199,0.049272001,0.000931617,-0.00412427,0.841575027,0.158425003,0.083056502,0.0416147,1.151129961,0.087966003,1.324149966,0.826983988,-0.069917597,0.0191324,0.202796996
NC,-27.86840057,-12.56879997,-18.43810081,-28.88050079,-9.824259758,-35.20840073,36.55329895,0.011545,0.279031992,345.8959961,-0.563682973,30.57159996,0.114675999,0.451007009,350.2720032,-0.378354013,0.374141991,0.855566978,7.694660187,0.0513331,0.044802502,0.000221224,0.00164407,0.873893023,0.126107007,-0.036543898,-0.018278601,0.938139975,0.068117499,-1.591989994,0.767121971,0.031946801,0.00682523,0.198791996
TC,-26.58090019,-14.47469997,-18.59339905,-29.03149986,-1.205800056,-7.854330063,7.946340084,0.711459994,0.153521001,9.470749855,-0.733823001,30.26650047,0.232002005,0.544552982,384.7510071,-0.294872999,0.340568006,0.873318017,5.938469887,0.053082101,0.0466302,0.00185046,-0.00231675,0.88063997,0.11936,0.0501385,0.0250895,1.093050003,0.064709596,0.527121007,0.810481012,-0.044174399,0.040492799,0.188964993
RC,-23.55699921,-13.0934,-17.77449989,-28.21419907,-6.362750053,-15.71100044,16.95050049,0.416386992,0.404987007,99.96510315,-0.423501015,26.95129967,0.329856992,0.555818975,308.4429932,-0.285495996,0.515743017,0.769369006,12.36730003,0.058843002,0.046998501,-0.00115529,-0.0014359,0.798900008,0.201100007,0.030289801,0.0151488,1.049780011,0.112241998,2.260730028,0.80054599,-0.024255199,-0.0249957,0.327313989
TC,-25.04380035,-11.32960033,-18.32749939,-28.79260063,-3.472919941,-20.87490082,21.16180038,0.071454898,0.166367993,72.49680328,-0.714725018,27.48730087,0.163137004,0.452389985,283.7359924,-0.377041012,0.395155996,0.843963981,8.709230423,0.0413551,0.035050102,-0.0037367,0.00443736,0.858559012,0.141441002,-0.128515005,-0.0645734,0.802748978,0.083888203,-2.263849974,0.72092998,0.109982997,-0.110283002,0.225220993
TC,-22.80089951,-12.51550007,-18.09869957,-28.56100082,0.863609016,-3.318599939,3.429130077,1.105119944,-0.260233015,-2.865969896,-1.703549981,26.01000023,0.342489988,0.548905015,285.3649902,-0.291235,0.427154988,0.825541019,9.61207962,0.065787204,0.057707101,0.00118438,0.00111382,0.878355026,0.121645004,-0.0178553,-0.00894951,0.972640991,0.065840296,-0.42294699,0.776455998,0.0160149,0.019509099,0.209261999
RC,-27.49799919,-12.97640038,-18.09059906,-28.55489922,-4.029630184,-19.60169983,20.01160049,0.107887998,0.205575004,78.9878006,-0.658958972,30.40600014,0.136405006,0.471902013,356.8240051,-0.358785987,0.34453699,0.871268988,6.788909912,0.044454601,0.0381906,-0.0045623,0.000701295,0.864342988,0.135656998,-0.017881099,-0.00894208,0.969659984,0.076501399,-2.973799944,0.776457012,0.0154805,-0.118300997,0.217032
RC,-25.56780052,-12.37409973,-18.08810043,-28.5529995,-2.452500105,-15.03849983,15.23719978,0.209003001,0.163081005,36.88190079,-0.719570994,28.40480042,0.182960004,0.483972013,316.3789978,-0.347734004,0.291119993,0.897767007,6.647980213,0.0715883,0.065129101,-0.00277854,0.00251476,0.911836982,0.0881631,-0.039046701,-0.0195332,0.931560993,0.0472304,-2.30546999,0.765868008,0.035603698,-0.042417198,0.161681995
TC,-23.64369965,-14.33220005,-18.0734005,-28.53759956,-7.138199806,-13.21899986,15.02320004,0.791163027,0.539995015,94.36009979,-0.298705995,27.64839935,0.419557005,0.606175005,338.8659973,-0.245194003,0.412084013,0.834334016,10.12749958,0.050767802,0.042123102,0.00327572,0.00331545,0.83436197,0.165638,-0.077236198,-0.038680799,0.878874004,0.093607798,-0.802572012,0.746738017,0.0646061,0.078534998,0.233150005
TC,-24.49360085,-12.8835001,-18.07369995,-28.53779984,-5.008900166,-16.10149956,16.86260033,0.288590014,0.311082989,80.65070343,-0.525456011,27.67519951,0.258266985,0.525996983,315.5629883,-0.310618997,0.410847992,0.83504498,9.757200241,0.040395401,0.0350926,0.0032638,-0.000853548,0.872763991,0.127235994,0.0242064,0.012105,1.043190002,0.070282899,0.256846011,0.797502995,-0.0211358,0.0928955,0.237428993
