FID,class,residue,VVresidue,VHresidue,span,ratio,product
0,0,TC,1.020454596,-3.620208907,3.761281711,-0.281877268,-3.694258818
1,0,TC,-2.357067542,-5.339987994,5.837057407,0.441399408,12.58671238
2,0,TC,2.532652285,-8.669880796,9.032228994,-0.292120774,-21.95779341
3,0,TC,2.270726862,-8.330161524,8.634106295,-0.272590976,-18.91552154
4,0,TC,0.142212131,0.739589789,0.753138331,0.192285147,0.10517864
5,0,TC,-1.876039422,-0.980244373,2.116696233,1.913848704,1.838977086
6,0,TC,0.359574876,0.909601435,0.978094506,0.395310366,0.327069823
7,0,TC,0.669697774,-2.509555655,2.597376502,-0.266859104,-1.680643835
8,0,TC,2.64805933,1.644504653,3.117148339,1.610247392,4.35474589
9,0,TC,4.350535059,2.191573941,4.871360348,1.985118995,9.534519266
10,0,TC,-0.650389382,-1.362875345,1.510111107,0.477218539,0.886399653
11,0,TC,3.230357446,-0.559124269,3.278388198,-5.777530369,-1.806171247
12,0,TC,4.007714685,6.299697267,7.46645583,0.636175758,25.24738925
13,0,TC,3.723345312,3.745324861,5.281170195,0.994131471,13.94513776
14,0,TC,1.388634222,2.766789389,3.095711312,0.501893721,3.842058432
15,0,TC,-2.149862123,3.926363852,4.476409302,-0.547545313,-8.441140924
16,0,TC,3.938667957,3.29731062,5.136668434,1.194509226,12.98701168
17,0,TC,5.133276144,2.888826755,5.890317817,1.776941499,14.82914547
18,0,TC,-4.185019285,0.238835599,4.19182882,-17.52259421,-0.999531588
19,0,TC,-2.151769777,0.222696677,2.163263041,-9.66233447,-0.479191979
20,0,TC,1.098236272,2.886617171,3.088475611,0.380457888,3.170187681
21,0,TC,2.182783304,-0.726057941,2.300370206,-3.006348639,-1.584827152
22,0,TC,1.354928313,-2.534583163,2.874011577,-0.534576388,-3.434178488
23,0,TC,-1.60828571,3.134868198,3.523348058,-0.513031365,-5.041763724
24,0,TC,2.297084745,4.372128682,4.938836658,0.525392758,10.0431501
25,0,TC,1.74799326,-3.347174165,3.776116435,-0.522229551,-5.85083788
26,0,TC,-1.758598198,-1.809824802,2.523516086,0.971695269,3.182754635
