FID,VVresidue,VHresidue,span,ratio,product,rvi,B2,B3,B4,B8,B12,NDRI,NDTI,NDI7,STI
0,-3.538444428,-24.93158989,25.18143689,0.141926144,88.21904535,0.875713377,735,1202,1920,2866,2832,-0.191919193,0.145443574,0.005967006,1.340395451
1,-25.92095666,-53.38769228,59.34763417,0.485523078,1383.860058,0.673163558,759,1135,1758,2652.5,2903.5,-0.245735645,0.092514798,-0.045175776,1.203892827
2,-5.581692615,-19.05497551,19.85566378,0.29292573,106.3590161,0.773439631,764.5,1229,2008,3108,2619.5,-0.133160174,0.18643257,0.086217381,1.458308816
3,3.05004551,1.782253042,3.532591615,1.711342575,5.435952888,0.368820971,1101,1686,2515,3640,2648.5,-0.025862604,0.153156459,0.157657951,1.361711979
4,0.665498296,-0.26553818,0.716518323,-2.506224516,-0.176715206,-0.663911648,1086,1518,2219,3121,2522,-0.063931428,0.152267486,0.106132478,1.35923636
5,0.397641958,-7.384154806,7.394853705,-0.053850707,-2.936249771,1.056915655,763.5,1154,1823,2733,2142.5,-0.081272133,0.159851328,0.121076331,1.380531073
6,-5.744293414,-10.60693014,12.06249866,0.541560408,60.92931895,0.64869336,838,1340,2114,3240.5,2684,-0.118680201,0.167079985,0.093394019,1.401190996
7,-3.533129445,-5.959940151,6.928483981,0.592812907,21.05724004,0.627820126,841,1336,2003,3016,2592,-0.128182814,0.148908228,0.075606279,1.349922895
8,0.229335578,-1.056624168,1.081225896,-0.217045554,-0.242321514,1.277213515,1012.5,1468,2345,3423,2666,-0.063993432,0.185641766,0.12451414,1.455925345
9,-31.93119733,-37.54735857,49.28899977,0.850424598,1198.932116,0.540416508,620,1038,1578,2501,2643,-0.252309889,0.110849455,-0.027604977,1.249337912
10,0.562071739,-10.02189423,10.03764358,-0.056084381,-5.633023521,1.059416732,647,1120,1886,3084,2539,-0.147570625,0.170261443,0.096923351,1.410397768
11,-66.66637158,-98.67762567,119.0868545,0.675597646,6578.47926,0.596801984,589.5,995.5,1557,2564,3000.5,-0.316730231,0.100906476,-0.078444704,1.224462748
12,-26.26908776,-34.92412068,43.70079149,0.752176068,917.4247911,0.570718901,620,1086,1830,2886,2832,-0.214929208,0.130354673,0.009443861,1.299788117
13,-15.58859824,-25.14007921,29.58087182,0.620069575,391.8985945,0.617257441,701,1174,1940,3041,2889,-0.196521014,0.128638208,0.025632378,1.295257926
14,-13.32897594,-31.69292784,34.38172879,0.420566254,422.4342726,0.70394464,665.5,968.5,1491,2467,2408,-0.236172169,0.111969784,0.011895701,1.252176166
15,-9.037219178,-21.63399099,23.44570103,0.417732409,195.5111183,0.705351725,708,1222,1865,2904.5,2582,-0.161754832,0.147432581,0.058877006,1.345855594
16,-14.1657223,-17.54455331,22.5494798,0.807414247,248.5312701,0.553276595,774,1247,1922,2988,2748,-0.176872715,0.14717856,0.041836265,1.345157623
17,-7.414972953,-18.3221922,19.76574185,0.404699005,135.8585596,0.711896283,893.5,1423,2261,3455,2944.5,-0.131120652,0.149559945,0.079602711,1.35172379
18,-6.812256368,-15.98523413,17.37626389,0.426159311,108.895513,0.701183936,797,1268,1986,3329,2769,-0.164668769,0.182944819,0.09183339,1.447815061
19,-3.564205407,-15.1388061,15.55271714,0.235435039,53.95781456,0.80943147,822.5,1297,1949,2991,2715.5,-0.164326787,0.158962443,0.04827803,1.378015041
20,-14.56598552,-37.51615254,40.24462245,0.388259044,546.4597348,0.72032666,735.5,1187,1754.5,2566.5,2709,-0.213844612,0.096321419,-0.027014207,1.213176608
21,-18.61366913,-53.06080904,56.23093574,0.350798819,987.6563432,0.740302691,695.5,1062,1588,2433,2685.5,-0.256816298,0.099429622,-0.049334113,1.220815301
22,1.656749658,1.863313576,2.493342518,0.889141624,3.087044129,0.529340938,994.5,1601,2616,3943,2847.5,-0.042373363,0.184097424,0.161328182,1.451273084
