FID,class,residue,VVresidue,VHresidue,span,ratio,product,rvi,B2,B3,B4,B8,B12,NDTI,NDRI,NDI7,STI
0,0,TC,-0.294371289,-4.179157612,4.189512239,0.070437949,1.230224012,0.934197075,1015,1530,2342,3486,2552,0.179948583,-0.042909686,0.154686987,1.438871503
1,0,TC,-1.067587865,-1.621972851,1.941787779,0.658203289,1.731598533,0.603062367,1175,1766,2758,4055,2920,0.176172063,-0.029983472,0.161428764,1.42769146
2,0,TC,2.237963328,-3.361716424,4.038516705,-0.665720437,-7.523398077,2.991508041,1316,1920,2836,4176,2852,0.193438917,-0.002812939,0.188389301,1.479663372
3,0,TC,-5.545328288,-6.793875066,8.769686667,0.816224649,37.67426759,0.550592682,1005.5,1526,2384,3833.5,2682,0.196220726,-0.058752909,0.176733613,1.488247395
4,0,TC,-0.956561392,-9.872696513,9.918928679,0.096889577,9.443840314,0.911668796,1160,1745,2580,3840,2886,0.169830129,-0.057361949,0.140480638,1.409145474
5,0,TC,-4.123702645,-1.32849896,4.33241653,3.104031519,5.478334674,0.243662846,1090,1568,2320,3416,2579,0.168600902,-0.05286793,0.13961634,1.405583501
6,0,TC,3.316416073,-1.546362856,3.659214895,-2.144655803,-5.128382629,-0.873625064,1356,1982,2966,4280,2895,0.185424879,0.012113973,0.193031356,1.455267668
7,0,TC,0.10232392,-2.897994911,2.899800802,-0.035308523,-0.296534201,1.036600845,1012,1504,2344,3515,2746,0.181398124,-0.07897839,0.122823827,1.443190098
8,0,TC,5.163879305,3.751548672,6.3827711,1.376466029,19.37254455,0.420792886,1045,1480,2352,3560,2411,0.182881683,-0.012283189,0.192528382,1.447625995
9,0,TC,4.523880974,0.267206888,4.531765505,16.93025582,1.208812158,0.055771653,1167,1694,2677,4024,2654.5,0.191625386,0.004217438,0.205055058,1.474101424
10,0,TC,4.158283793,-4.457192741,6.095727293,-0.932937845,-18.53427234,14.91154,1064,1662,2448,3569,2692,0.181389689,-0.047470815,0.140073463,1.443164945
11,0,TC,2.877039915,-3.977855317,4.909245522,-0.723264092,-11.44444852,3.613553469,1332,1944,2872,4148,2768,0.195699543,0.018439716,0.199537307,1.486632943
12,0,TC,-6.185866308,-17.64393489,18.69688157,0.350594487,109.1430224,0.740414691,1024.5,1621,2466,3773,2729,0.185218424,-0.050719164,0.160428792,1.454645634
13,0,TC,3.170553801,3.686675846,4.862508632,0.860003411,11.68880411,0.537633423,1314,1886,2862,4373,2695,0.179604262,0.030052187,0.237408042,1.437847853
14,0,TC,-10.02553804,-15.47606932,18.43963488,0.647809068,155.1559217,0.606866426,714.5,1239,1959,3039,2849,0.148343533,-0.185107037,0.032266207,1.348365307
15,0,TC,-3.089267842,-6.39504482,7.102124615,0.483072117,19.75600631,0.674276044,882,1336,2036,3050,2538,0.153294414,-0.109750763,0.091624908,1.36209619
16,0,TC,4.693829009,-3.844495298,6.067303755,-1.220922032,-18.04540355,-4.526483813,872,1384,2152,3216,2594,0.165648118,-0.093131058,0.107056797,1.397070169
17,0,TC,3.320533797,0.10725264,3.322265466,30.95992609,0.356136015,0.031289184,1148,1836,2774,4221,2859,0.191802114,-0.015089651,0.192372888,1.474641442
18,0,TC,-0.602987882,-3.516963491,3.56828062,0.171451277,2.120686365,0.853641991,696.5,1119,1775,2727,2236,0.170160651,-0.11493393,0.098931707,1.410105705
19,0,TC,1.117654015,-4.218657142,4.364197358,-0.264931228,-4.714999093,1.360416926,1250,1758,2692,4027,2739,0.198536947,-0.008654024,0.190363586,1.495436311
20,0,TC,-0.447615904,-17.01304581,17.01893321,0.026310157,7.615309885,0.974364322,766,1318,2040,3204,2777,0.162418947,-0.152999789,0.071392745,1.387828588
21,0,TC,0.397181619,-5.323190934,5.337987913,-0.074613446,-2.114273592,1.08062949,949,1500,2294,3506,2670,0.172349662,-0.075745367,0.1353627,1.416479349
22,0,TC,-0.542950776,-2.506227315,2.564365594,0.216640674,1.360758065,0.821935368,1202,1730,2574,4192,2822,0.20327498,-0.045959972,0.195323631,1.510276437
23,0,TC,-4.620144377,-26.98162393,27.37432673,0.171232999,124.6589981,0.853801081,764.5,1246,2011,3167,2790.5,0.165083453,-0.162345529,0.063197032,1.395449042
24,0,TC,1.464635343,-0.669105091,1.610235483,-2.188946644,-0.979994965,-0.841080637,1294,1838,2730,4008,2693,0.184063017,0.006822792,0.196239367,1.451169729
25,0,TC,2.091959362,-7.660242645,7.940756346,-0.273093094,-16.02491632,1.375691978,885,1438,2178,3259,2650,0.163774058,-0.097763047,0.103063121,1.391698122
26,0,TC,-8.199841545,-49.97093176,50.6392281,0.164092228,409.7537223,0.859038464,685.5,1046,1624,2488,2709,0.114705957,-0.250403404,-0.042525992,1.259136438
27,0,TC,-18.04585683,-38.20426174,42.25184687,0.472351932,689.4286377,0.679185444,493,877,1388,2284,2328,0.182871178,-0.252960175,-0.00954033,1.447594523
28,0,TC,-1.63914984,2.12077611,2.680392416,-0.772900936,-3.47626982,4.403364686,870,1334,2188,3494,2580,0.17821309,-0.082214765,0.150477439,1.433720946
29,0,TC,-4.613201193,-5.847585826,7.448213561,0.788906966,26.97608991,0.559000562,718.5,1191,2136,3417,2732.5,0.180598259,-0.122523077,0.111309744,1.440805197
30,0,TC,1.860516488,-14.22534207,14.3464936,-0.130788875,-26.46648347,1.150468478,830,1338,2114,3172,2617,0.166361496,-0.10631986,0.095871612,1.399122119
31,0,TC,5.084673112,1.95732587,5.448396573,2.597765242,9.952362222,0.27795032,1016,1516,2432,3684,2720,0.178867921,-0.055900622,0.150530919,1.435661793
32,0,TC,4.056876237,-4.604325776,6.136616385,-0.881101041,-18.67917983,8.410502602,1228,1858,2850,4140,2820,0.179755673,0.005291005,0.18965517,1.438297868
33,0,TC,-2.176198214,-2.243096058,3.125270963,0.970176113,4.881421634,0.507568838,866,1324,2116,3194,2515,0.176085174,-0.086158499,0.118935011,1.427435398
34,0,TC,1.053388604,-3.15737526,3.328460017,-0.33362794,-3.325943117,1.500663158,1110,1692,2532,3717,2760,0.175873399,-0.043083899,0.147753596,1.426811576
35,0,TC,-3.190004998,-1.270524716,3.433710084,2.510777602,4.052980193,0.284837182,966,1478,2340,3666,2676,0.199880406,-0.066985644,0.15610218,1.499626279
36,0,TC,-8.927017417,-16.76134144,18.99037142,0.532595643,149.628787,0.652487827,717.5,1198,1885,3094.5,2516,0.180054486,-0.143375531,0.103107072,1.439186931
37,0,TC,-2.01742093,-7.936842049,8.189227614,0.254184336,16.01195126,0.797330959,1254,1852,2812,4058,2775,0.180327863,0.006622517,0.187765256,1.440000057
38,0,TC,-1.876067572,-3.032025227,3.565502281,0.618750647,5.688284206,0.617760371,861,1334,2176,3386,2639,0.173116088,-0.096157841,0.123983406,1.418719172
39,0,TC,1.644315058,-0.846088566,1.84922629,-1.943431366,-1.391236169,-1.059960518,1112,1682,2584,3702,2804,0.174201146,-0.040831476,0.138026431,1.421897292
40,0,TC,5.049749588,-0.248209639,5.055846015,-20.34469577,-1.253396521,-0.051693757,1210,1744,2620,3828,2733,0.184665874,-0.021109657,0.166895285,1.452982068
41,0,TC,4.602434073,-2.152011389,5.080703929,-2.138666225,-9.904490543,-0.878220481,1294,1816,2676,3926,2836,0.173780039,-0.029027576,0.161194906,1.42066288
42,0,TC,-0.184508535,-6.982405134,6.984842508,0.026424782,1.288313344,0.97425551,855,1274,2040,3284,2379,0.181067124,-0.076714188,0.159809291,1.442202568
43,0,TC,-4.866731899,-2.904368935,5.667489593,1.675658984,14.13478494,0.373739705,1135,1710,2580,3786,2821.5,0.176203147,-0.044707675,0.145971403,1.42778337
44,0,TC,1.006094083,-0.674192982,1.211099286,-1.492293912,-0.67830157,-2.031306858,1309,1861,2813,4046,2894.5,0.18257533,-0.014280972,0.165905759,1.446709514
45,0,TC,1.68013131,-2.158264117,2.735131664,-0.778464182,-3.626167119,4.513942751,1158,1732,2644,3886,2656,0.179106787,-0.002264151,0.188015893,1.436370492
46,0,TC,-0.975138844,-0.638021847,1.165318687,1.528378454,0.622159886,0.39551041,1162,1726,2612,3729,2780,0.183193773,-0.03115727,0.145798132,1.448561192
47,0,TC,5.289035725,-6.356377839,8.26906513,-0.832083281,-33.61910947,5.95533312,695,1116,1808,2722,2216,0.160923898,-0.101391651,0.102470636,1.383574009
