FID,class,residue,VVresidue,VHresidue,span,ratio,product,rvi,B2,B3,B4,B8,B12,NDRI,NDTI,NDI7,STI
0,0,TC,1.020454596,-3.620208907,3.761281711,-0.281877268,-3.694258818,1.392519628,1150,1620,2302,3342,2905,-0.115805648,0.149590164,0.069953576,1.351807237
1,0,TC,-2.357067542,-5.339987994,5.837057407,0.441399408,12.58671238,0.693770231,878,1176,1686,2563,2508.5,-0.196090102,0.136860207,0.010746298,1.317121744
2,0,TC,2.532652285,-8.669880796,9.032228994,-0.292120774,-21.95779341,1.412670358,967,1372,1934,2897,2800,-0.182931975,0.128811523,0.017026598,1.295715213
3,0,TC,2.270726862,-8.330161524,8.634106295,-0.272590976,-18.91552154,1.374742363,1081,1445,2035,3054,2810.5,-0.160045817,0.131355286,0.041521024,1.302437305
4,0,TC,0.142212131,0.739589789,0.753138331,0.192285147,0.10517864,0.838725537,839,1158,1690,2496,2097,-0.107472934,0.151699036,0.086871326,1.357653737
5,0,TC,-1.876039422,-0.980244373,2.116696233,1.913848704,1.838977086,0.343188718,919,1270,1804,2612,2303,-0.121499881,0.137937486,0.062868766,1.320017338
6,0,TC,0.359574876,0.909601435,0.978094506,0.395310366,0.327069823,0.716686426,981,1266,1864,2614,1990,-0.032693304,0.166666672,0.135534316,1.399999976
7,0,TC,0.669697774,-2.509555655,2.597376502,-0.266859104,-1.680643835,1.363994296,1030,1462,2132,3078,2702,-0.117914774,0.138667524,0.065051906,1.321983695
8,0,TC,2.64805933,1.644504653,3.117148339,1.610247392,4.35474589,0.383105449,1009,1400,2054,3012,2571,-0.11178378,0.147122249,0.078989789,1.345001936
9,0,TC,4.350535059,2.191573941,4.871360348,1.985118995,9.534519266,0.334995021,1164,1618,2284,3334,2796,-0.100787401,0.140353575,0.08776509,1.326537967
10,0,TC,-0.650389382,-1.362875345,1.510111107,0.477218539,0.886399653,0.676947908,1011,1408,2046,3032,2694,-0.136708856,0.140121296,0.059028991,1.325909376
11,0,TC,3.230357446,-0.559124269,3.278388198,-5.777530369,-1.806171247,-0.209313164,1035,1420,2044,3017,2618.5,-0.123217151,0.154094651,0.070712425,1.364330769
12,0,TC,4.007714685,6.299697267,7.46645583,0.636175758,25.24738925,0.611181284,1116,1560,2256,3230,2598,-0.070457354,0.154709607,0.108442001,1.366050839
13,0,TC,3.723345312,3.745324861,5.281170195,0.994131471,13.94513776,0.50147145,1166,1586,2296,3266,2616,-0.06514658,0.14788273,0.110506631,1.347094774
14,0,TC,1.388634222,2.766789389,3.095711312,0.501893721,3.842058432,0.665826074,1176,1592,2306,3252,2797,-0.096217908,0.141102403,0.075219043,1.328566313
