system:index,VHresidue,VVresidue,class,product,ratio,span,residue
00000000000000000000_0,-16.08334155,-2.662917452,0,42.82861091,0.165569912,16.3023006,TC
00000000000000000002_0,-8.414454231,0.44918673,0,-3.779661185,-0.053382753,8.426435114,TC
00000000000000000003_0,-2.112994232,3.27552218,0,-6.921159473,-1.55018037,3.897921264,TC
00000000000000000004_0,-20.20911876,1.361180743,0,-27.50826329,-0.06735478,20.2549079,TC
00000000000000000006_0,-15.3430216,2.401890025,0,-36.85225053,-0.156546089,15.52988691,TC
00000000000000000007_0,-4.233529444,-1.328275586,0,5.623293804,0.313751352,4.437013364,TC
00000000000000000008_0,-20.01385002,0.299363278,0,-5.99141174,-0.014957806,20.0160888,TC
0000000000000000000a_0,-9.588972379,0.978523431,0,-9.383034148,-0.102046746,9.638770636,TC
0000000000000000000c_0,-3.881385418,1.178087255,0,-4.572610694,-0.303522358,4.056234996,TC
0000000000000000000d_0,-1.775191727,3.273027033,0,-5.81025051,-1.843759738,3.723440831,TC
0000000000000000000e_0,-4.203772654,2.48056333,0,-10.4277243,-0.590080277,4.881075595,TC
0000000000000000000f_0,-8.477149767,0.847524862,0,-7.184595184,-0.099977573,8.519411163,TC
00000000000000000010_0,-3.781387316,2.68718419,0,-10.16128421,-0.710634475,4.638949117,TC
00000000000000000012_0,-10.16550427,-0.28408425,0,2.887859655,0.027945908,10.16947299,TC
00000000000000000013_0,-14.62960575,2.694209232,0,-39.41521887,-0.184161438,14.87562193,TC
00000000000000000014_0,-5.988666362,0.753941719,0,-4.515105413,-0.125894761,6.035938445,TC
00000000000000000015_0,-12.9844873,-4.68383595,0,60.8172084,0.360725521,13.80344992,TC
00000000000000000017_0,2.976497385,-0.202846034,0,-0.603770689,-0.06814924,2.98340128,TC
00000000000000000019_0,-1.606516359,0.791845042,0,-1.272112013,-0.492895722,1.791064874,TC
0000000000000000001a_0,2.849554435,-0.580716322,0,-1.65478277,-0.203791973,2.908125156,TC
0000000000000000001c_0,-7.179610059,1.299730115,0,-9.331555409,-0.181030739,7.296307214,TC
0000000000000000001f_0,-1.637073599,1.410565274,0,-2.309199169,-0.861638276,2.160949874,TC
00000000000000000021_0,-3.287860907,2.494513674,0,-8.201613991,-0.758704138,4.127060432,TC
00000000000000000022_0,-7.888124757,2.714545062,0,-21.41267011,-0.344130595,8.34213804,TC
00000000000000000024_0,-0.281740657,1.345415194,0,-0.37905816,-4.775367568,1.374598065,TC
00000000000000000026_0,-0.841400058,3.518149823,0,-2.960171464,-4.181304471,3.617365372,TC
00000000000000000027_0,-6.516337489,1.644160092,0,-10.71390205,-0.252313527,6.720559254,TC
00000000000000000028_0,0.972321629,-2.0090993,0,-1.953490704,-2.066290865,2.232014639,TC
00000000000000000029_0,-0.767715196,2.181594603,0,-1.674843329,-2.841671773,2.312734666,TC
0000000000000000002b_0,-1.473963142,1.456247343,0,-2.146454909,-0.987980839,2.072009572,TC
0000000000000000002d_0,-2.48683868,1.778736016,0,-4.423429526,-0.715259912,3.057493816,TC
0000000000000000002f_0,2.222342248,1.46923488,0,3.265142747,0.661119988,2.664105141,TC
0000000000000000003b_0,-4.99104204,0.378201169,0,-1.887617936,-0.075775994,5.005350814,TC
0000000000000000003c_0,-0.355077807,0.988588745,0,-0.351025923,-2.784146814,1.050422751,TC
0000000000000000003d_0,-5.245760759,0.283741466,0,-1.488439847,-0.05408967,5.253428896,TC
0000000000000000003e_0,2.989489752,2.098731715,0,6.274136955,0.702036765,3.652632446,TC
0000000000000000001d_0,-15.47340046,-1.165538372,0,18.03484199,0.07532529,15.51723563,TC
00000000000000000001_0,-10.51870835,0.734823069,0,-7.729389558,-0.069858679,10.544344,TC
00000000000000000011_0,-4.137583047,0.225116035,0,-0.93143629,-0.054407617,4.143702535,TC
0000000000000000001e_0,-9.748396393,3.537880119,0,-34.48865779,-0.36291919,10.37052689,TC
00000000000000000016_0,-7.589720142,0.686095462,0,-5.207272547,-0.090397992,7.620667872,TC
00000000000000000020_0,0.043886764,-3.693483428,0,-0.162095034,-84.15939386,3.693744155,TC
00000000000000000023_0,-3.526224775,1.564357777,0,-5.516277151,-0.443635298,3.857651671,TC
0000000000000000003f_0,-1.576483692,2.564733929,0,-4.043261213,-1.626869939,3.010508421,TC
00000000000000000005_0,-13.05869885,0.039699796,0,-0.518427682,-0.003040104,13.05875919,TC
00000000000000000009_0,-8.765066159,0.086559649,0,-0.758701049,-0.009875527,8.76549356,TC
0000000000000000000b_0,-2.343235073,-1.336764133,0,3.1323526,0.570478032,2.697719213,TC
00000000000000000018_0,-1.942798331,1.60169046,0,-3.111761551,-0.824424457,2.517911373,TC
0000000000000000001b_0,-10.98406806,3.250103151,0,-35.69935421,-0.295892481,11.45482089,TC
00000000000000000025_0,-6.503943647,1.678590056,0,-10.91745513,-0.258088038,6.717063907,TC
0000000000000000002a_0,-3.906201456,-3.136740647,0,12.25274088,0.803015585,5.009745673,TC
0000000000000000002c_0,-2.776807256,1.758576267,0,-4.883227339,-0.633308727,3.286829631,TC
0000000000000000002e_0,-4.797173698,2.551104154,0,-12.23808975,-0.531793159,5.433323835,TC
00000000000000000040_0,-9.503127926,1.495278719,0,-14.20982495,-0.157345953,9.620046716,TC
00000000000000000043_0,-2.960294403,1.816498,0,-5.377368862,-0.613620726,3.473184121,TC
00000000000000000046_0,-21.919018,-3.481210122,1,76.30470734,0.158821445,22.19374178,RC
00000000000000000048_0,-10.22481182,-5.612810201,1,57.38992809,0.548940196,11.66406512,RC
00000000000000000049_0,-11.41201789,-3.831331614,1,43.72322492,0.335727796,12.03799212,RC
0000000000000000004a_0,-23.7436181,-6.021049701,1,142.9615047,0.253586024,24.49515136,RC
0000000000000000004f_0,-14.86329132,1.610053515,1,-23.93069444,-0.108324158,14.95024084,RC
00000000000000000051_0,-11.10677431,-6.112144428,1,67.88620871,0.55030779,12.6774897,RC
00000000000000000052_0,-12.28528496,-3.413420507,1,41.9348436,0.277846262,12.75067316,RC
00000000000000000053_0,-38.2890876,-12.05820611,1,461.6977101,0.314925397,40.1429267,RC
00000000000000000056_0,-16.40599305,-8.51693729,1,139.728814,0.519135737,18.48498928,RC
00000000000000000058_0,-20.43090051,-10.86585493,1,221.9992009,0.531834361,23.14062443,RC
00000000000000000059_0,-14.55418127,-3.151342137,1,45.86520471,0.216524865,14.89144552,RC
0000000000000000005c_0,-15.99611634,-9.095511161,1,145.4928547,0.568607465,18.40119728,RC
0000000000000000005e_0,-15.36440193,-4.551683732,1,69.9338983,0.296248676,16.02443982,RC
00000000000000000060_0,-9.23722353,-10.63307701,1,98.22010915,1.151111801,14.08504971,RC
00000000000000000063_0,-19.29281779,-4.376196035,1,84.42915272,0.22683032,19.78291966,RC
00000000000000000065_0,-21.51720924,-9.936679462,1,213.8096111,0.461801498,23.7007994,RC
00000000000000000066_0,-21.39480288,-11.89653139,1,254.523944,0.556047721,24.47989071,RC
